No Transaksi;Tanggal;Dept;Kode Pelanggan;Nama Pelanggan;Sub Total;Total Pokok;Laba Kotor;Laba Jual;Perubahan Laba
148597/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;5000;4083,33;916,67;916,67;0
148598/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;63000;57260,4;5739,6;5739,6;1
148599/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;24000;19203,18;4796,82;4796,82;0
148600/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;4000;3225;775;775;0
148601/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;69000;65410;3590;3590;1
148602/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;5500;4581,25;918,75;918,75;0
148603/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;16500;13743,75;2756,25;2756,25;1
148604/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;43750;41199,32;2550,68;2550,68;0
148605/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;12000;10000;2000;2000;0
148606/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;155100;133351,72;21748,28;21748,28;1
148607/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;13000;12400;600;600;0
148608/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;99550;86107,22;13442,78;13442,78;1
148609/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;20000;16743,75;3256,25;3256,25;0
148610/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;70100;60954,72;9145,28;9145,28;1
148611/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;26900;23275,04;3624,96;3624,96;0
148612/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;47000;44500;2500;2500;0
148613/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;53900;47252,19;6647,81;6647,81;1
148614/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;35000;33102,56;1897,44;1897,44;0
148615/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;25000;24200;800;800;0
148616/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;10500;8291,66;2208,34;2208,34;1
148617/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;104000;89209,45;14790,55;14790,55;1
148619/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;74000;61989,32;12010,68;12010,68;0
148620/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;172800;150756,68;22043,32;22043,32;1
148621/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;114800;99962,23;14837,77;14837,77;0
148622/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;55000;46810,78;8189,22;8189,22;0
148623/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;66000;61440,94;4559,06;4559,06;0
148624/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;138100;117433,35;20666,65;20666,65;1
148625/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;26000;21369,05;4630,95;4630,95;0
148626/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;57000;55650;1350;1350;0
148627/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;38000;31054,8;6945,2;6945,2;1
148628/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;4500;3562,5;937,5;937,5;0
148629/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;11800;10737,47;1062,53;1062,53;1
148630/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;30000;28000;2000;2000;1
148631/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;17000;16400;600;600;0
148632/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;9300;7652,65;1647,35;1647,35;1
148633/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;10000;8750;1250;1250;0
148634/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;38500;32098,72;6401,28;6401,28;1
148635/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;334400;316745,45;17654,55;17654,55;1
148636/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;10500;8800;1700;1700;0
148637/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;13400;10865;2535;2535;1
148638/KSR/UTM/0522;01/05/2022;UTM;UMUM;UMUM;48200;42780;5420;5420;1
